Date,Number 1,Number 2,Number 3,Number 4,Number 5,Powerball,Power Play,Jackpot
2/10/07,41,11,16,42,2,16,3,37000000
2/7/07,22,4,28,37,52,10,3,27000000
2/3/07,13,20,33,42,12,37,5,20000000
1/31/07,48,42,2,25,15,14,4,15000000
1/27/07,10,26,19,32,27,14,5,15000000
1/24/07,53,29,9,42,19,17,3,240000000
1/20/07,1,38,5,26,32,30,5,205000000
1/17/07,52,35,16,49,50,31,2,180000000
1/13/07,21,1,26,23,25,4,2,155000000
1/10/07,45,54,42,53,36,36,2,131000000
1/6/07,24,40,1,50,49,38,4,115000000
1/3/07,12,55,24,35,10,31,3,100000000
12/30/06,31,28,23,9,36,26,5,88000000
12/27/06,14,29,16,27,41,29,3,75000000
12/23/06,27,43,53,8,52,5,5,65000000
12/20/06,6,26,14,1,34,34,5,53000000
12/16/06,28,17,36,5,51,5,4,43000000
12/13/06,33,32,19,54,42,15,3,33000000
12/9/06,52,22,19,34,30,40,4,25000000
12/6/06,38,36,35,7,34,14,4,20000000
12/2/06,42,34,50,45,17,11,3,15000000
11/29/06,2,9,12,8,19,25,3,74000000
11/25/06,55,49,28,5,18,38,5,64000000
11/22/06,22,49,32,36,55,8,5,54000000
11/18/06,42,36,19,1,8,20,2,45000000
11/15/06,11,28,43,30,34,29,3,35000000
11/11/06,40,49,38,35,55,41,2,27000000
11/8/06,12,53,8,11,26,4,4,20000000
11/4/06,44,13,34,12,39,5,5,15000000
11/1/06,46,54,13,7,8,35,2,93000000
10/28/06,38,22,41,30,14,12,5,83000000
10/25/06,16,40,43,48,42,1,5,70000000
10/21/06,45,55,29,9,31,7,4,59000000
10/18/06,41,2,24,34,48,24,3,47000000
10/14/06,26,15,1,17,40,19,2,37000000
10/11/06,38,10,35,5,12,9,4,27000000
10/7/06,4,31,45,3,8,12,5,20000000
10/4/06,39,27,7,3,40,8,5,15000000
9/30/06,30,32,15,39,6,5,5,15000000
9/27/06,49,23,33,35,28,16,3,15000000
9/23/06,21,45,26,13,50,20,4,203000000
9/20/06,54,8,7,29,17,26,2,179000000
9/16/06,26,42,27,7,8,12,5,157000000
9/13/06,15,47,19,45,26,3,4,137000000
9/9/06,20,47,3,22,19,2,2,119000000
9/6/06,27,35,21,55,2,1,4,102000000
9/2/06,24,28,3,49,8,25,4,89000000
8/30/06,35,3,19,43,33,1,4,75000000
8/26/06,26,24,42,38,46,16,5,64000000
8/23/06,17,8,51,24,38,31,5,51000000
8/19/06,12,51,29,22,26,9,3,40000000
8/16/06,22,2,13,50,48,2,4,29000000
8/12/06,14,54,27,18,13,32,5,20000000
8/9/06,52,19,43,41,16,35,2,15000000
8/5/06,48,50,3,9,2,23,2,204000000
8/2/06,24,19,10,16,13,15,4,178000000
7/29/06,14,39,55,19,26,29,4,155000000
7/26/06,10,5,24,17,43,31,4,135000000
7/22/06,40,47,14,55,54,6,4,116000000
7/19/06,44,50,2,38,32,21,4,100000000
7/15/06,36,20,47,50,35,5,4,86000000
7/12/06,31,33,30,18,19,15,5,73000000
7/8/06,50,44,49,32,37,13,4,62000000
7/5/06,26,52,39,41,53,20,2,50000000
7/1/06,40,35,42,2,31,34,3,40000000
6/28/06,45,51,8,16,2,32,5,28000000
6/24/06,39,8,47,11,30,23,3,20000000
6/21/06,11,19,22,43,45,34,3,15000000
6/17/06,39,48,20,22,10,25,4,100000000
6/14/06,4,40,14,48,15,12,3,86000000
6/10/06,36,54,24,26,16,11,3,73000000
6/7/06,20,10,4,26,40,8,5,60000000
6/3/06,20,5,18,50,6,35,5,48000000
5/31/06,49,22,20,43,10,3,5,38000000
